,CH1
Second,Volt
-8.00000e-09,4.00e-02, 
-7.90000e-09,4.00e-02, 
-7.80000e-09,4.00e-02, 
-7.70000e-09,4.00e-02, 
-7.60000e-09,4.00e-02, 
-7.50000e-09,4.00e-02, 
-7.40000e-09,4.00e-02, 
-7.30000e-09,4.00e-02, 
-7.20000e-09,4.00e-02, 
-7.10000e-09,4.00e-02, 
-7.00000e-09,4.00e-02, 
-6.90000e-09,4.00e-02, 
-6.80000e-09,4.00e-02, 
-6.70000e-09,4.00e-02, 
-6.60000e-09,4.00e-02, 
-6.50000e-09,4.00e-02, 
-6.40000e-09,4.00e-02, 
-6.30000e-09,4.00e-02, 
-6.20000e-09,4.00e-02, 
-6.10000e-09,4.00e-02, 
-6.00000e-09,4.00e-02, 
-5.90000e-09,4.00e-02, 
-5.80000e-09,4.00e-02, 
-5.70000e-09,4.00e-02, 
-5.60000e-09,4.00e-02, 
-5.50000e-09,4.00e-02, 
-5.40000e-09,4.00e-02, 
-5.30000e-09,4.00e-02, 
-5.20000e-09,4.00e-02, 
-5.10000e-09,4.00e-02, 
-5.00000e-09,4.00e-02, 
-4.90000e-09,4.00e-02, 
-4.80000e-09,4.00e-02, 
-4.70000e-09,4.00e-02, 
-4.60000e-09,4.00e-02, 
-4.50000e-09,4.00e-02, 
-4.40000e-09,4.00e-02, 
-4.30000e-09,4.00e-02, 
-4.20000e-09,2.00e-02, 
-4.10000e-09,4.00e-02, 
-4.00000e-09,4.00e-02, 
-3.90000e-09,4.00e-02, 
-3.80000e-09,4.00e-02, 
-3.70000e-09,4.00e-02, 
-3.60000e-09,6.00e-02, 
-3.50000e-09,6.00e-02, 
-3.40000e-09,6.00e-02, 
-3.30000e-09,6.00e-02, 
-3.20000e-09,6.00e-02, 
-3.10000e-09,8.00e-02, 
-3.00000e-09,8.00e-02, 
-2.90000e-09,8.00e-02, 
-2.80000e-09,8.00e-02, 
-2.70000e-09,8.00e-02, 
-2.60000e-09,1.00e-01, 
-2.50000e-09,1.00e-01, 
-2.40000e-09,1.00e-01, 
-2.30000e-09,1.00e-01, 
-2.20000e-09,1.00e-01, 
-2.10000e-09,1.20e-01, 
-2.00000e-09,1.20e-01, 
-1.90000e-09,1.40e-01, 
-1.80000e-09,1.40e-01, 
-1.70000e-09,1.40e-01, 
-1.60000e-09,1.60e-01, 
-1.50000e-09,1.80e-01, 
-1.40000e-09,1.80e-01, 
-1.30000e-09,2.00e-01, 
-1.20000e-09,2.00e-01, 
-1.10000e-09,2.20e-01, 
-1.00000e-09,2.40e-01, 
-9.00000e-10,2.40e-01, 
-8.00000e-10,2.60e-01, 
-7.00000e-10,2.60e-01, 
-6.00000e-10,2.80e-01, 
-5.00000e-10,3.00e-01, 
-4.00000e-10,3.20e-01, 
-3.00000e-10,3.40e-01, 
-2.00000e-10,3.40e-01, 
-1.00000e-10,3.80e-01, 
-0.00000e+00,4.00e-01, 
1.00000e-10,4.40e-01, 
2.00000e-10,4.60e-01, 
3.00000e-10,4.80e-01, 
