,CH2
Second,Volt
-5.99974e-04,1.06e+01, 
-5.97974e-04,-1.60e-01, 
-5.95974e-04,-1.60e-01, 
-5.93974e-04,-8.00e-02, 
-5.91974e-04,-1.60e-01, 
-5.89974e-04,1.06e+01, 
-5.87974e-04,1.06e+01, 
-5.85974e-04,-1.60e-01, 
-5.83974e-04,-8.00e-02, 
-5.81974e-04,-1.60e-01, 
-5.79974e-04,-1.60e-01, 
-5.77974e-04,1.06e+01, 
-5.75974e-04,-1.60e-01, 
-5.73974e-04,-8.00e-02, 
-5.71974e-04,-1.60e-01, 
-5.69974e-04,1.04e+01, 
-5.67974e-04,1.06e+01, 
-5.65974e-04,-1.60e-01, 
-5.63974e-04,-1.60e-01, 
-5.61974e-04,-8.00e-02, 
-5.59974e-04,-1.60e-01, 
-5.57974e-04,1.06e+01, 
-5.55974e-04,1.06e+01, 
-5.53974e-04,-1.60e-01, 
-5.51974e-04,-1.60e-01, 
-5.49974e-04,-8.00e-02, 
-5.47974e-04,1.06e+01, 
-5.45974e-04,-1.60e-01, 
-5.43974e-04,-1.60e-01, 
-5.41974e-04,-8.00e-02, 
-5.39974e-04,-1.60e-01, 
-5.37974e-04,1.06e+01, 
-5.35974e-04,1.06e+01, 
-5.33974e-04,-1.60e-01, 
-5.31974e-04,-8.00e-02, 
-5.29974e-04,-1.60e-01, 
-5.27974e-04,-1.60e-01, 
-5.25974e-04,1.06e+01, 
-5.23974e-04,-8.00e-02, 
-5.21974e-04,-1.60e-01, 
-5.19974e-04,-1.60e-01, 
-5.17974e-04,-8.00e-02, 
-5.15974e-04,-1.60e-01, 
-5.13974e-04,1.06e+01, 
-5.11974e-04,-1.60e-01, 
-5.09974e-04,-8.00e-02, 
-5.07974e-04,-1.60e-01, 
-5.05974e-04,1.06e+01, 
-5.03974e-04,1.06e+01, 
-5.01974e-04,-1.60e-01, 
-4.99974e-04,-8.00e-02, 
-4.97974e-04,-1.60e-01, 
-4.95974e-04,-1.60e-01, 
-4.93974e-04,1.06e+01, 
-4.91974e-04,-1.60e-01, 
-4.89974e-04,-8.00e-02, 
-4.87974e-04,-1.60e-01, 
-4.85974e-04,-8.00e-02, 
-4.83974e-04,1.06e+01, 
-4.81974e-04,-1.60e-01, 
-4.79974e-04,-1.60e-01, 
-4.77974e-04,-8.00e-02, 
-4.75974e-04,-1.60e-01, 
-4.73974e-04,1.06e+01, 
-4.71974e-04,1.06e+01, 
-4.69974e-04,-1.60e-01, 
-4.67974e-04,-8.00e-02, 
-4.65974e-04,-1.60e-01, 
-4.63974e-04,-1.60e-01, 
-4.61974e-04,1.06e+01, 
-4.59974e-04,-1.60e-01, 
-4.57974e-04,-8.00e-02, 
-4.55974e-04,-1.60e-01, 
-4.53974e-04,1.06e+01, 
-4.51974e-04,1.06e+01, 
-4.49974e-04,-1.60e-01, 
-4.47974e-04,-8.00e-02, 
-4.45974e-04,-1.60e-01, 
-4.43974e-04,-1.60e-01, 
-4.41974e-04,1.06e+01, 
-4.39974e-04,0.00e+00, 
-4.37974e-04,-1.60e-01, 
-4.35974e-04,-1.60e-01, 
-4.33974e-04,-1.60e-01, 
-4.31974e-04,-1.60e-01, 
-4.29974e-04,1.06e+01, 
-4.27974e-04,-1.60e-01, 
-4.25974e-04,-8.00e-02, 
-4.23974e-04,-1.60e-01, 
-4.21974e-04,1.06e+01, 
-4.19974e-04,1.06e+01, 
-4.17974e-04,-1.60e-01, 
-4.15974e-04,-8.00e-02, 
-4.13974e-04,-1.60e-01, 
-4.11974e-04,-1.60e-01, 
-4.09974e-04,1.06e+01, 
-4.07974e-04,-1.60e-01, 
-4.05974e-04,-8.00e-02, 
-4.03974e-04,-1.60e-01, 
-4.01974e-04,-8.00e-02, 
-3.99974e-04,1.06e+01, 
-3.97974e-04,-1.60e-01, 
-3.95974e-04,-1.60e-01, 
-3.93974e-04,-8.00e-02, 
-3.91974e-04,-1.60e-01, 
-3.89974e-04,1.06e+01, 
-3.87974e-04,1.06e+01, 
-3.85974e-04,-1.60e-01, 
-3.83974e-04,-1.60e-01, 
-3.81974e-04,-8.00e-02, 
-3.79974e-04,-1.60e-01, 
-3.77974e-04,1.06e+01, 
-3.75974e-04,-1.60e-01, 
-3.73974e-04,-8.00e-02, 
-3.71974e-04,-1.60e-01, 
-3.69974e-04,1.06e+01, 
-3.67974e-04,1.06e+01, 
-3.65974e-04,-1.60e-01, 
-3.63974e-04,-1.60e-01, 
