,CH1
Second,Volt
-8.60000e-08,-1.60e-02, 
-8.50000e-08,-1.60e-02, 
-8.40000e-08,-1.60e-02, 
-8.30000e-08,-1.60e-02, 
-8.20000e-08,-8.00e-03, 
-8.10000e-08,-1.60e-02, 
-8.00000e-08,-1.60e-02, 
-7.90000e-08,-1.60e-02, 
-7.80000e-08,-1.60e-02, 
-7.70000e-08,-1.60e-02, 
-7.60000e-08,-1.60e-02, 
-7.50000e-08,-1.60e-02, 
-7.40000e-08,-1.60e-02, 
-7.30000e-08,-1.60e-02, 
-7.20000e-08,-1.60e-02, 
-7.10000e-08,-1.60e-02, 
-7.00000e-08,-1.60e-02, 
-6.90000e-08,-1.60e-02, 
-6.80000e-08,-1.60e-02, 
-6.70000e-08,-1.60e-02, 
-6.60000e-08,-1.60e-02, 
-6.50000e-08,-8.00e-03, 
-6.40000e-08,-1.60e-02, 
-6.30000e-08,-1.60e-02, 
-6.20000e-08,-1.60e-02, 
-6.10000e-08,-1.60e-02, 
-6.00000e-08,-1.60e-02, 
-5.90000e-08,-1.60e-02, 
-5.80000e-08,-1.60e-02, 
-5.70000e-08,-1.60e-02, 
-5.60000e-08,-1.60e-02, 
-5.50000e-08,-8.00e-03, 
-5.40000e-08,-1.60e-02, 
-5.30000e-08,-1.60e-02, 
-5.20000e-08,-1.60e-02, 
-5.10000e-08,-1.60e-02, 
-5.00000e-08,-1.60e-02, 
-4.90000e-08,-1.60e-02, 
-4.80000e-08,-1.60e-02, 
-4.70000e-08,-1.60e-02, 
-4.60000e-08,-8.00e-03, 
-4.50000e-08,-8.00e-03, 
-4.40000e-08,-8.00e-03, 
-4.30000e-08,-1.60e-02, 
-4.20000e-08,-1.60e-02, 
-4.10000e-08,-1.60e-02, 
-4.00000e-08,-2.40e-02, 
-3.90000e-08,-1.60e-02, 
-3.80000e-08,-1.60e-02, 
-3.70000e-08,-1.60e-02, 
-3.60000e-08,-1.60e-02, 
-3.50000e-08,-1.60e-02, 
-3.40000e-08,-1.60e-02, 
-3.30000e-08,-1.60e-02, 
-3.20000e-08,-1.60e-02, 
-3.10000e-08,-1.60e-02, 
-3.00000e-08,-2.40e-02, 
-2.90000e-08,-1.60e-02, 
-2.80000e-08,-1.60e-02, 
-2.70000e-08,-8.00e-03, 
-2.60000e-08,-1.60e-02, 
-2.50000e-08,-8.00e-03, 
-2.40000e-08,-1.60e-02, 
-2.30000e-08,-1.60e-02, 
-2.20000e-08,-1.60e-02, 
-2.10000e-08,-1.60e-02, 
-2.00000e-08,-2.40e-02, 
-1.90000e-08,-1.60e-02, 
-1.80000e-08,-1.60e-02, 
-1.70000e-08,-1.60e-02, 
-1.60000e-08,-1.60e-02, 
-1.50000e-08,-8.00e-03, 
-1.40000e-08,-1.60e-02, 
-1.30000e-08,-1.60e-02, 
-1.20000e-08,-1.60e-02, 
-1.10000e-08,-1.60e-02, 
-9.99999e-09,-1.60e-02, 
-9.00000e-09,-1.60e-02, 
-8.00000e-09,-1.60e-02, 
-7.00000e-09,-1.60e-02, 
-5.99999e-09,-1.60e-02, 
-5.00000e-09,-8.00e-03, 
-4.00000e-09,-1.60e-02, 
-3.00000e-09,8.00e-03, 
-1.99999e-09,1.44e-01, 
-1.00000e-09,4.08e-01, 
-0.00000e+00,5.60e-01, 
1.00000e-09,5.68e-01, 
2.00001e-09,5.68e-01, 
3.00000e-09,5.76e-01, 
4.00000e-09,5.84e-01, 
5.00000e-09,5.84e-01, 
6.00001e-09,5.84e-01, 
7.00000e-09,5.92e-01, 
8.00000e-09,5.84e-01, 
9.00000e-09,5.92e-01, 
1.00000e-08,5.92e-01, 
1.10000e-08,6.00e-01, 
1.20000e-08,6.00e-01, 
1.30000e-08,6.00e-01, 
1.40000e-08,6.08e-01, 
1.50000e-08,6.16e-01, 
1.60000e-08,6.08e-01, 
1.70000e-08,6.08e-01, 
1.80000e-08,6.08e-01, 
1.90000e-08,6.16e-01, 
2.00000e-08,6.08e-01, 
2.10000e-08,6.16e-01, 
2.20000e-08,6.08e-01, 
2.30000e-08,6.16e-01, 
2.40000e-08,6.08e-01, 
2.50000e-08,6.16e-01, 
2.60000e-08,6.24e-01, 
2.70000e-08,6.72e-01, 
2.80000e-08,7.84e-01, 
2.90000e-08,9.20e-01, 
3.00000e-08,1.01e+00, 
3.10000e-08,1.06e+00, 
3.20000e-08,1.08e+00, 
3.30000e-08,1.10e+00, 
3.40000e-08,1.11e+00, 
3.50000e-08,1.12e+00, 
3.60000e-08,1.12e+00, 
3.70000e-08,1.12e+00, 
3.80000e-08,1.11e+00, 
3.90000e-08,1.11e+00, 
4.00000e-08,1.11e+00, 
4.10000e-08,1.12e+00, 
4.20000e-08,1.12e+00, 
4.30000e-08,1.12e+00, 
4.40000e-08,1.12e+00, 
4.50000e-08,1.11e+00, 
4.60000e-08,1.10e+00, 
4.70000e-08,1.10e+00, 
4.80000e-08,1.10e+00, 
4.90000e-08,1.10e+00, 
5.00000e-08,1.10e+00, 
