,CH2
Second,Volt
-1.20000e-08,-4.00e-02, 
-1.16000e-08,-8.00e-02, 
-1.12000e-08,-4.00e-02, 
-1.08000e-08,-4.00e-02, 
-1.04000e-08,-8.00e-02, 
-1.00000e-08,-8.00e-02, 
-9.60000e-09,-4.00e-02, 
-9.20000e-09,-4.00e-02, 
-8.80000e-09,-4.00e-02, 
-8.40000e-09,-4.00e-02, 
-8.00000e-09,-8.00e-02, 
-7.60000e-09,-4.00e-02, 
-7.20000e-09,-4.00e-02, 
-6.80000e-09,-4.00e-02, 
-6.40000e-09,-4.00e-02, 
-6.00000e-09,-8.00e-02, 
-5.60000e-09,-8.00e-02, 
-5.20000e-09,-4.00e-02, 
-4.80000e-09,-4.00e-02, 
-4.40000e-09,-4.00e-02, 
-4.00000e-09,-8.00e-02, 
-3.60000e-09,-4.00e-02, 
-3.20000e-09,-4.00e-02, 
-2.80000e-09,-4.00e-02, 
-2.40000e-09,-4.00e-02, 
-2.00000e-09,-4.00e-02, 
-1.60000e-09,0.00e+00, 
-1.20000e-09,8.00e-02, 
-8.00000e-10,1.20e-01, 
-4.00000e-10,4.80e-01, 
-0.00000e+00,1.12e+00, 
4.00000e-10,2.20e+00, 
8.00000e-10,2.80e+00, 
1.20000e-09,3.36e+00, 
1.60000e-09,4.44e+00, 
2.00000e-09,4.96e+00, 
2.40000e-09,5.16e+00, 
2.80000e-09,5.12e+00, 
3.20000e-09,5.08e+00, 
3.60000e-09,5.04e+00, 
4.00000e-09,5.04e+00, 
4.40000e-09,5.12e+00, 
4.80000e-09,5.16e+00, 
5.20000e-09,5.20e+00, 
5.60000e-09,5.32e+00, 
6.00000e-09,5.32e+00, 
6.40000e-09,5.36e+00, 
6.80000e-09,5.36e+00, 
7.20000e-09,5.36e+00, 
7.60000e-09,5.36e+00, 
8.00000e-09,5.36e+00, 
8.40000e-09,5.36e+00, 
8.80000e-09,5.40e+00, 
9.20000e-09,5.40e+00, 
9.60000e-09,5.48e+00, 
1.00000e-08,5.44e+00, 
1.04000e-08,5.44e+00, 
1.08000e-08,5.44e+00, 
1.12000e-08,5.44e+00, 
1.16000e-08,5.48e+00, 
1.20000e-08,5.44e+00, 
1.24000e-08,5.48e+00, 
1.28000e-08,5.48e+00, 
1.32000e-08,5.44e+00, 
1.36000e-08,5.48e+00, 
1.40000e-08,5.48e+00, 
1.44000e-08,5.48e+00, 
1.48000e-08,5.48e+00, 
1.52000e-08,5.44e+00, 
1.56000e-08,5.48e+00, 
1.60000e-08,5.48e+00, 
1.64000e-08,5.56e+00, 
1.68000e-08,5.60e+00, 
1.72000e-08,5.60e+00, 
1.76000e-08,5.64e+00, 
1.80000e-08,5.56e+00, 
1.84000e-08,5.52e+00, 
1.88000e-08,5.52e+00, 
1.92000e-08,5.48e+00, 
1.96000e-08,5.52e+00, 
2.00000e-08,5.52e+00, 
2.04000e-08,5.56e+00, 
2.08000e-08,5.60e+00, 
2.12000e-08,5.60e+00, 
2.16000e-08,5.64e+00, 
2.20000e-08,5.56e+00, 
2.24000e-08,5.56e+00, 
2.28000e-08,5.56e+00, 
2.32000e-08,5.52e+00, 
2.36000e-08,5.60e+00, 
2.40000e-08,5.52e+00, 
2.44000e-08,5.56e+00, 
2.48000e-08,5.56e+00, 
2.52000e-08,5.52e+00, 
2.56000e-08,5.60e+00, 
2.60000e-08,5.52e+00, 
2.64000e-08,5.56e+00, 
2.68000e-08,5.56e+00, 
2.72000e-08,5.52e+00, 
2.76000e-08,5.52e+00, 
2.80000e-08,5.48e+00, 
2.84000e-08,5.40e+00, 
2.88000e-08,5.28e+00, 
2.92000e-08,5.16e+00, 
2.96000e-08,4.76e+00, 
3.00000e-08,4.08e+00, 
3.04000e-08,3.36e+00, 
3.08000e-08,3.00e+00, 
3.12000e-08,2.64e+00, 
3.16000e-08,2.04e+00, 
3.20000e-08,1.56e+00, 
3.24000e-08,1.20e+00, 
3.28000e-08,1.16e+00, 
3.32000e-08,1.08e+00, 
3.36000e-08,1.00e+00, 
3.40000e-08,9.60e-01, 
3.44000e-08,1.00e+00, 
3.48000e-08,1.00e+00, 
3.52000e-08,1.00e+00, 
3.56000e-08,9.60e-01, 
3.60000e-08,8.80e-01, 
3.64000e-08,8.40e-01, 
3.68000e-08,8.00e-01, 
3.72000e-08,7.60e-01, 
3.76000e-08,7.60e-01, 
3.80000e-08,7.60e-01, 
3.84000e-08,7.60e-01, 
3.88000e-08,7.60e-01, 
3.92000e-08,7.20e-01, 
3.96000e-08,7.60e-01, 
4.00000e-08,7.20e-01, 
4.04000e-08,7.20e-01, 
4.08000e-08,7.20e-01, 
4.12000e-08,7.20e-01, 
4.16000e-08,7.20e-01, 
4.20000e-08,6.80e-01, 
4.24000e-08,6.40e-01, 
4.28000e-08,6.40e-01, 
4.32000e-08,6.40e-01, 
4.36000e-08,6.40e-01, 
4.40000e-08,5.60e-01, 
4.44000e-08,5.20e-01, 
4.48000e-08,5.20e-01, 
4.52000e-08,5.20e-01, 
4.56000e-08,4.80e-01, 
4.60000e-08,4.80e-01, 
4.64000e-08,4.80e-01, 
4.68000e-08,5.20e-01, 
4.72000e-08,5.20e-01, 
4.76000e-08,5.20e-01, 
4.80000e-08,5.20e-01, 
4.84000e-08,5.20e-01, 
4.88000e-08,5.60e-01, 
4.92000e-08,5.60e-01, 
4.96000e-08,5.20e-01, 
5.00000e-08,4.80e-01, 
5.04000e-08,4.80e-01, 
5.08000e-08,4.80e-01, 
5.12000e-08,4.40e-01, 
5.16000e-08,4.40e-01, 
5.20000e-08,4.40e-01, 
5.24000e-08,4.40e-01, 
5.28000e-08,4.40e-01, 
5.32000e-08,4.40e-01, 
5.36000e-08,4.40e-01, 
5.40000e-08,4.00e-01, 
5.44000e-08,4.00e-01, 
5.48000e-08,4.00e-01, 
5.52000e-08,4.00e-01, 
5.56000e-08,3.60e-01, 
5.60000e-08,3.60e-01, 
5.64000e-08,3.60e-01, 
5.68000e-08,3.60e-01, 
5.72000e-08,3.60e-01, 
5.76000e-08,3.20e-01, 
5.80000e-08,2.40e-01, 
5.84000e-08,1.60e-01, 
5.88000e-08,8.00e-02, 
