,CH2
Second,Volt
-4.40000e-09,-1.60e-01, 
-4.30000e-09,-1.60e-01, 
-4.20000e-09,-1.60e-01, 
-4.10000e-09,-1.60e-01, 
-4.00000e-09,-1.60e-01, 
-3.90000e-09,-1.60e-01, 
-3.80000e-09,-1.60e-01, 
-3.70000e-09,-1.60e-01, 
-3.60000e-09,-1.60e-01, 
-3.50000e-09,-1.60e-01, 
-3.40000e-09,-1.60e-01, 
-3.30000e-09,-1.60e-01, 
-3.20000e-09,-1.60e-01, 
-3.10000e-09,-1.60e-01, 
-3.00000e-09,-1.60e-01, 
-2.90000e-09,-1.60e-01, 
-2.80000e-09,-2.40e-01, 
-2.70000e-09,-1.60e-01, 
-2.60000e-09,-1.60e-01, 
-2.50000e-09,-1.60e-01, 
-2.40000e-09,-1.60e-01, 
-2.30000e-09,-1.60e-01, 
-2.20000e-09,-1.60e-01, 
-2.10000e-09,-1.60e-01, 
-2.00000e-09,-1.60e-01, 
-1.90000e-09,-1.60e-01, 
-1.80000e-09,-1.60e-01, 
-1.70000e-09,-1.60e-01, 
-1.60000e-09,-1.60e-01, 
-1.50000e-09,-1.60e-01, 
-1.40000e-09,-1.60e-01, 
-1.30000e-09,-1.60e-01, 
-1.20000e-09,-8.00e-02, 
-1.10000e-09,0.00e+00, 
-1.00000e-09,0.00e+00, 
-9.00000e-10,8.00e-02, 
-8.00000e-10,8.00e-02, 
-7.00000e-10,1.60e-01, 
-6.00000e-10,2.40e-01, 
-5.00000e-10,3.20e-01, 
-4.00000e-10,4.00e-01, 
-3.00000e-10,4.00e-01, 
-2.00000e-10,5.60e-01, 
-1.00000e-10,7.20e-01, 
-0.00000e+00,8.80e-01, 
1.00000e-10,1.04e+00, 
2.00000e-10,1.12e+00, 
3.00000e-10,1.28e+00, 
4.00000e-10,1.44e+00, 
5.00000e-10,1.60e+00, 
6.00000e-10,1.76e+00, 
7.00000e-10,1.92e+00, 
8.00000e-10,2.08e+00, 
9.00000e-10,2.16e+00, 
1.00000e-09,2.24e+00, 
1.10000e-09,2.32e+00, 
1.20000e-09,2.40e+00, 
1.30000e-09,2.40e+00, 
1.40000e-09,2.40e+00, 
1.50000e-09,2.40e+00, 
1.60000e-09,2.40e+00, 
1.70000e-09,2.40e+00, 
1.80000e-09,2.32e+00, 
1.90000e-09,2.24e+00, 
2.00000e-09,2.08e+00, 
2.10000e-09,2.00e+00, 
2.20000e-09,1.84e+00, 
2.30000e-09,1.68e+00, 
2.40000e-09,1.44e+00, 
2.50000e-09,1.28e+00, 
2.60000e-09,1.04e+00, 
2.70000e-09,8.00e-01, 
2.80000e-09,6.40e-01, 
2.90000e-09,4.80e-01, 
3.00000e-09,2.40e-01, 
3.10000e-09,8.00e-02, 
3.20000e-09,-1.60e-01, 
3.30000e-09,-2.40e-01, 
3.40000e-09,-3.20e-01, 
3.50000e-09,-4.80e-01, 
3.60000e-09,-5.60e-01, 
3.70000e-09,-7.20e-01, 
3.80000e-09,-7.20e-01, 
3.90000e-09,-8.00e-01, 
4.00000e-09,-8.00e-01, 
4.10000e-09,-8.80e-01, 
4.20000e-09,-9.60e-01, 
4.30000e-09,-8.80e-01, 
4.40000e-09,-8.00e-01, 
4.50000e-09,-8.00e-01, 
4.60000e-09,-7.20e-01, 
4.70000e-09,-7.20e-01, 
4.80000e-09,-6.40e-01, 
4.90000e-09,-5.60e-01, 
5.00000e-09,-4.80e-01, 
5.10000e-09,-4.00e-01, 
5.20000e-09,-3.20e-01, 
5.30000e-09,-1.60e-01, 
5.40000e-09,-8.00e-02, 
5.50000e-09,0.00e+00, 
5.60000e-09,8.00e-02, 
5.70000e-09,1.60e-01, 
5.80000e-09,2.40e-01, 
5.90000e-09,3.20e-01, 
6.00000e-09,4.00e-01, 
6.10000e-09,4.80e-01, 
6.20000e-09,4.80e-01, 
6.30000e-09,5.60e-01, 
6.40000e-09,6.40e-01, 
6.50000e-09,6.40e-01, 
6.60000e-09,7.20e-01, 
6.70000e-09,7.20e-01, 
6.80000e-09,7.20e-01, 
6.90000e-09,7.20e-01, 
7.00000e-09,7.20e-01, 
7.10000e-09,7.20e-01, 
7.20000e-09,6.40e-01, 
7.30000e-09,6.40e-01, 
7.40000e-09,5.60e-01, 
7.50000e-09,5.60e-01, 
7.60000e-09,4.80e-01, 
7.70000e-09,4.00e-01, 
7.80000e-09,4.00e-01, 
7.90000e-09,4.00e-01, 
8.00000e-09,4.00e-01, 
8.10000e-09,4.00e-01, 
8.20000e-09,3.20e-01, 
8.30000e-09,3.20e-01, 
8.40000e-09,3.20e-01, 
8.50000e-09,2.40e-01, 
8.60000e-09,2.40e-01, 
8.70000e-09,1.60e-01, 
8.80000e-09,1.60e-01, 
