,CH2
Second,Volt
-1.16080e-07,-1.60e-01, 
-1.16040e-07,-1.60e-01, 
-1.16000e-07,-1.60e-01, 
-1.15960e-07,-1.60e-01, 
-1.15920e-07,-1.60e-01, 
-1.15880e-07,-1.60e-01, 
-1.15840e-07,-1.60e-01, 
-1.15800e-07,-1.60e-01, 
-1.15760e-07,-2.40e-01, 
-1.15720e-07,-2.40e-01, 
-1.15680e-07,-1.60e-01, 
-1.15640e-07,-1.60e-01, 
-1.15600e-07,-1.60e-01, 
-1.15560e-07,-1.60e-01, 
-1.15520e-07,-1.60e-01, 
-1.15480e-07,-1.60e-01, 
-1.15440e-07,-1.60e-01, 
-1.15400e-07,-1.60e-01, 
-1.15360e-07,-1.60e-01, 
-1.15320e-07,-1.60e-01, 
-1.15280e-07,-1.60e-01, 
-1.15240e-07,-1.60e-01, 
-1.15200e-07,-1.60e-01, 
-1.15160e-07,-1.60e-01, 
-1.15120e-07,-1.60e-01, 
-1.15080e-07,-1.60e-01, 
-1.15040e-07,-1.60e-01, 
-1.15000e-07,-1.60e-01, 
-1.14960e-07,-1.60e-01, 
-1.14920e-07,-2.40e-01, 
-1.14880e-07,-2.40e-01, 
-1.14840e-07,-2.40e-01, 
-1.14800e-07,-1.60e-01, 
-1.14760e-07,-1.60e-01, 
-1.14720e-07,-1.60e-01, 
-1.14680e-07,-1.60e-01, 
-1.14640e-07,-1.60e-01, 
-1.14600e-07,-1.60e-01, 
-1.14560e-07,-1.60e-01, 
-1.14520e-07,-1.60e-01, 
-1.14480e-07,-1.60e-01, 
-1.14440e-07,-1.60e-01, 
-1.14400e-07,-1.60e-01, 
-1.14360e-07,-1.60e-01, 
-1.14320e-07,-8.00e-02, 
-1.14280e-07,-8.00e-02, 
-1.14240e-07,-8.00e-02, 
-1.14200e-07,-8.00e-02, 
-1.14160e-07,-8.00e-02, 
-1.14120e-07,-8.00e-02, 
-1.14080e-07,-8.00e-02, 
-1.14040e-07,-8.00e-02, 
-1.14000e-07,-8.00e-02, 
-1.13960e-07,-8.00e-02, 
-1.13920e-07,-8.00e-02, 
-1.13880e-07,-8.00e-02, 
-1.13840e-07,-8.00e-02, 
-1.13800e-07,-8.00e-02, 
-1.13760e-07,-1.60e-01, 
-1.13720e-07,-1.60e-01, 
-1.13680e-07,-1.60e-01, 
-1.13640e-07,-1.60e-01, 
-1.13600e-07,-1.60e-01, 
-1.13560e-07,-1.60e-01, 
-1.13520e-07,-1.60e-01, 
-1.13480e-07,-1.60e-01, 
-1.13440e-07,-1.60e-01, 
-1.13400e-07,-1.60e-01, 
