,CH1,CH4
Second,Volt,Volt
1.91546e-02,8.00e-02,4.00e-02, 
1.91547e-02,4.00e-02,8.00e-02, 
1.91548e-02,4.00e-02,6.00e-02, 
1.91549e-02,8.00e-02,4.00e-02, 
1.91550e-02,6.00e-02,4.00e-02, 
1.91551e-02,4.00e-02,8.00e-02, 
1.91552e-02,4.00e-02,8.00e-02, 
1.91553e-02,8.00e-02,4.00e-02, 
1.91554e-02,4.00e-02,4.00e-02, 
1.91555e-02,6.00e-02,8.00e-02, 
1.91556e-02,8.00e-02,4.00e-02, 
1.91557e-02,2.00e-02,8.00e-02, 
1.91558e-02,4.00e-02,4.00e-02, 
1.91559e-02,6.00e-02,8.00e-02, 
1.91560e-02,6.00e-02,4.00e-02, 
1.91561e-02,2.00e-02,8.00e-02, 
1.91562e-02,8.00e-02,4.00e-02, 
1.91563e-02,4.00e-02,8.00e-02, 
1.91564e-02,4.00e-02,8.00e-02, 
1.91565e-02,6.00e-02,4.00e-02, 
1.91566e-02,6.00e-02,4.00e-02, 
1.91567e-02,4.00e-02,8.00e-02, 
1.91568e-02,6.00e-02,4.00e-02, 
1.91569e-02,4.00e-02,1.00e-01, 
1.91570e-02,4.00e-02,4.00e-02, 
1.91571e-02,6.00e-02,8.00e-02, 
1.91572e-02,4.00e-02,8.00e-02, 
1.91573e-02,8.00e-02,4.00e-02, 
1.91574e-02,4.00e-02,6.00e-02, 
1.91575e-02,6.00e-02,4.00e-02, 
1.91576e-02,4.00e-02,4.00e-02, 
1.91577e-02,6.00e-02,8.00e-02, 
1.91578e-02,4.00e-02,4.00e-02, 
1.91579e-02,6.00e-02,6.00e-02, 
1.91580e-02,4.00e-02,8.00e-02, 
1.91581e-02,8.00e-02,4.00e-02, 
1.91582e-02,4.00e-02,4.00e-02, 
1.91583e-02,8.00e-02,8.00e-02, 
1.91584e-02,6.00e-02,4.00e-02, 
1.91585e-02,4.00e-02,6.00e-02, 
1.91586e-02,4.00e-02,4.00e-02, 
1.91587e-02,6.00e-02,6.00e-02, 
1.91588e-02,6.00e-02,4.00e-02, 
1.91589e-02,4.00e-02,8.00e-02, 
1.91590e-02,4.00e-02,4.00e-02, 
1.91591e-02,6.00e-02,8.00e-02, 
1.91592e-02,4.00e-02,4.00e-02, 
1.91593e-02,8.00e-02,8.00e-02, 
1.91594e-02,6.00e-02,8.00e-02, 
1.91595e-02,4.00e-02,4.00e-02, 
