,CH1
Second,Volt
-6.88000e-08,-2.40e-02, 
-6.84000e-08,-2.40e-02, 
-6.80000e-08,-2.40e-02, 
-6.76000e-08,-2.40e-02, 
-6.72000e-08,-2.40e-02, 
-6.68000e-08,-2.40e-02, 
-6.64000e-08,-2.40e-02, 
-6.60000e-08,-3.20e-02, 
-6.56000e-08,-2.40e-02, 
-6.52000e-08,-2.40e-02, 
-6.48000e-08,-2.40e-02, 
-6.44000e-08,-2.40e-02, 
-6.40000e-08,-3.20e-02, 
-6.36000e-08,-2.40e-02, 
-6.32000e-08,-2.40e-02, 
-6.28000e-08,-2.40e-02, 
-6.24000e-08,-2.40e-02, 
-6.20000e-08,-3.20e-02, 
-6.16000e-08,-2.40e-02, 
-6.12000e-08,-2.40e-02, 
-6.08000e-08,-2.40e-02, 
-6.04000e-08,-2.40e-02, 
-6.00000e-08,-3.20e-02, 
-5.96000e-08,-2.40e-02, 
-5.92000e-08,-2.40e-02, 
-5.88000e-08,-2.40e-02, 
-5.84000e-08,-2.40e-02, 
-5.80000e-08,-3.20e-02, 
-5.76000e-08,-2.40e-02, 
-5.72000e-08,-2.40e-02, 
-5.68000e-08,-2.40e-02, 
-5.64000e-08,-2.40e-02, 
-5.60000e-08,-3.20e-02, 
-5.56000e-08,-2.40e-02, 
-5.52000e-08,-2.40e-02, 
-5.48000e-08,-2.40e-02, 
-5.44000e-08,-2.40e-02, 
-5.40000e-08,-3.20e-02, 
-5.36000e-08,-2.40e-02, 
-5.32000e-08,-2.40e-02, 
-5.28000e-08,-2.40e-02, 
-5.24000e-08,-2.40e-02, 
-5.20000e-08,-3.20e-02, 
-5.16000e-08,-2.40e-02, 
-5.12000e-08,-2.40e-02, 
-5.08000e-08,-2.40e-02, 
-5.04000e-08,-2.40e-02, 
-5.00000e-08,-3.20e-02, 
-4.96000e-08,-2.40e-02, 
-4.92000e-08,-1.60e-02, 
-4.88000e-08,-1.60e-02, 
-4.84000e-08,-2.40e-02, 
-4.80000e-08,-3.20e-02, 
-4.76000e-08,-2.40e-02, 
-4.72000e-08,-2.40e-02, 
-4.68000e-08,-2.40e-02, 
-4.64000e-08,-2.40e-02, 
-4.60000e-08,-3.20e-02, 
-4.56000e-08,-2.40e-02, 
-4.52000e-08,-2.40e-02, 
-4.48000e-08,-2.40e-02, 
-4.44000e-08,-2.40e-02, 
-4.40000e-08,-3.20e-02, 
-4.36000e-08,-2.40e-02, 
