,CH2
Second,Volt
-5.83000e-07,-1.60e-01, 
-5.81000e-07,-1.60e-01, 
-5.79000e-07,-1.60e-01, 
-5.77000e-07,-8.00e-02, 
-5.75000e-07,-8.00e-02, 
-5.73000e-07,-1.60e-01, 
-5.71000e-07,-1.60e-01, 
-5.69000e-07,-1.60e-01, 
-5.67000e-07,-1.60e-01, 
-5.65000e-07,-8.00e-02, 
-5.63000e-07,-1.60e-01, 
-5.61000e-07,-1.60e-01, 
-5.59000e-07,-1.60e-01, 
-5.57000e-07,-1.60e-01, 
-5.55000e-07,-1.60e-01, 
-5.53000e-07,-1.60e-01, 
-5.51000e-07,-1.60e-01, 
-5.49000e-07,-8.00e-02, 
-5.47000e-07,-1.60e-01, 
-5.45000e-07,-1.60e-01, 
-5.43000e-07,-1.60e-01, 
-5.41000e-07,-1.60e-01, 
-5.39000e-07,-1.60e-01, 
-5.37000e-07,-1.60e-01, 
-5.35000e-07,-8.00e-02, 
-5.33000e-07,-1.60e-01, 
-5.31000e-07,-1.60e-01, 
-5.29000e-07,-1.60e-01, 
-5.27000e-07,-1.60e-01, 
-5.25000e-07,-8.00e-02, 
-5.23000e-07,-8.00e-02, 
-5.21000e-07,-1.60e-01, 
-5.19000e-07,-1.60e-01, 
-5.17000e-07,-8.00e-02, 
-5.15000e-07,-8.00e-02, 
-5.13000e-07,-1.60e-01, 
-5.11000e-07,-8.00e-02, 
-5.09000e-07,-1.60e-01, 
-5.07000e-07,-8.00e-02, 
-5.05000e-07,-1.60e-01, 
-5.03000e-07,-8.00e-02, 
-5.01000e-07,-1.60e-01, 
-4.99000e-07,-1.60e-01, 
-4.97000e-07,-1.60e-01, 
-4.95000e-07,-8.00e-02, 
-4.93000e-07,-1.60e-01, 
-4.91000e-07,-1.60e-01, 
-4.89000e-07,-1.60e-01, 
-4.87000e-07,-1.60e-01, 
-4.85000e-07,-1.60e-01, 
-4.83000e-07,-1.60e-01, 
-4.81000e-07,-1.60e-01, 
-4.79000e-07,-1.60e-01, 
-4.77000e-07,-1.60e-01, 
-4.75000e-07,-1.60e-01, 
-4.73000e-07,-8.00e-02, 
-4.71000e-07,-8.00e-02, 
-4.69000e-07,-1.60e-01, 
-4.67000e-07,-1.60e-01, 
-4.65000e-07,-1.60e-01, 
-4.63000e-07,-1.60e-01, 
-4.61000e-07,-1.60e-01, 
-4.59000e-07,-1.60e-01, 
-4.57000e-07,-1.60e-01, 
-4.55000e-07,-8.00e-02, 
-4.53000e-07,-1.60e-01, 
-4.51000e-07,-1.60e-01, 
-4.49000e-07,-1.60e-01, 
-4.47000e-07,-1.60e-01, 
-4.45000e-07,-1.60e-01, 
-4.43000e-07,-8.00e-02, 
-4.41000e-07,-1.60e-01, 
-4.39000e-07,-1.60e-01, 
-4.37000e-07,-1.60e-01, 
-4.35000e-07,-1.60e-01, 
-4.33000e-07,-1.60e-01, 
-4.31000e-07,-1.60e-01, 
-4.29000e-07,-1.60e-01, 
-4.27000e-07,-1.60e-01, 
-4.25000e-07,-1.60e-01, 
-4.23000e-07,-1.60e-01, 
-4.21000e-07,-1.60e-01, 
-4.19000e-07,-1.60e-01, 
-4.17000e-07,-1.60e-01, 
-4.15000e-07,-1.60e-01, 
-4.13000e-07,-1.60e-01, 
-4.11000e-07,-1.60e-01, 
-4.09000e-07,-1.60e-01, 
-4.07000e-07,-1.60e-01, 
-4.05000e-07,-1.60e-01, 
-4.03000e-07,-8.00e-02, 
-4.01000e-07,-1.60e-01, 
-3.99000e-07,-1.60e-01, 
-3.97000e-07,-8.00e-02, 
-3.95000e-07,-1.60e-01, 
-3.93000e-07,-1.60e-01, 
-3.91000e-07,-8.00e-02, 
-3.89000e-07,-1.60e-01, 
-3.87000e-07,-1.60e-01, 
-3.85000e-07,-1.60e-01, 
-3.83000e-07,-8.00e-02, 
-3.81000e-07,-1.60e-01, 
-3.79000e-07,-8.00e-02, 
-3.77000e-07,-1.60e-01, 
-3.75000e-07,-1.60e-01, 
-3.73000e-07,-1.60e-01, 
-3.71000e-07,-8.00e-02, 
-3.69000e-07,-1.60e-01, 
-3.67000e-07,-8.00e-02, 
-3.65000e-07,-1.60e-01, 
-3.63000e-07,-1.60e-01, 
-3.61000e-07,-1.60e-01, 
-3.59000e-07,-1.60e-01, 
-3.57000e-07,-1.60e-01, 
-3.55000e-07,-1.60e-01, 
-3.53000e-07,-8.00e-02, 
-3.51000e-07,-8.00e-02, 
-3.49000e-07,-1.60e-01, 
-3.47000e-07,-8.00e-02, 
-3.45000e-07,-1.60e-01, 
-3.43000e-07,-8.00e-02, 
-3.41000e-07,-1.60e-01, 
-3.39000e-07,-1.60e-01, 
-3.37000e-07,-1.60e-01, 
-3.35000e-07,-1.60e-01, 
-3.33000e-07,-1.60e-01, 
-3.31000e-07,-1.60e-01, 
-3.29000e-07,-8.00e-02, 
-3.27000e-07,-8.00e-02, 
-3.25000e-07,-1.60e-01, 
-3.23000e-07,-1.60e-01, 
-3.21000e-07,-8.00e-02, 
-3.19000e-07,-8.00e-02, 
-3.17000e-07,-1.60e-01, 
-3.15000e-07,-1.60e-01, 
-3.13000e-07,-1.60e-01, 
-3.11000e-07,-8.00e-02, 
-3.09000e-07,-1.60e-01, 
-3.07000e-07,-8.00e-02, 
-3.05000e-07,-1.60e-01, 
-3.03000e-07,-1.60e-01, 
-3.01000e-07,-1.60e-01, 
-2.99000e-07,-1.60e-01, 
-2.97000e-07,-1.60e-01, 
-2.95000e-07,-8.00e-02, 
-2.93000e-07,-1.60e-01, 
-2.91000e-07,-1.60e-01, 
-2.89000e-07,-1.60e-01, 
-2.87000e-07,-8.00e-02, 
-2.85000e-07,-1.60e-01, 
-2.83000e-07,-1.60e-01, 
-2.81000e-07,-8.00e-02, 
-2.79000e-07,-8.00e-02, 
-2.77000e-07,-1.60e-01, 
-2.75000e-07,-8.00e-02, 
-2.73000e-07,-1.60e-01, 
-2.71000e-07,-1.60e-01, 
-2.69000e-07,-1.60e-01, 
-2.67000e-07,-1.60e-01, 
-2.65000e-07,-1.60e-01, 
-2.63000e-07,-1.60e-01, 
-2.61000e-07,-1.60e-01, 
-2.59000e-07,-8.00e-02, 
-2.57000e-07,-1.60e-01, 
-2.55000e-07,-8.00e-02, 
-2.53000e-07,-1.60e-01, 
-2.51000e-07,-1.60e-01, 
-2.49000e-07,-1.60e-01, 
-2.47000e-07,-1.60e-01, 
-2.45000e-07,-8.00e-02, 
-2.43000e-07,-8.00e-02, 
-2.41000e-07,-1.60e-01, 
-2.39000e-07,-8.00e-02, 
-2.37000e-07,-1.60e-01, 
-2.35000e-07,-1.60e-01, 
-2.33000e-07,-8.00e-02, 
-2.31000e-07,-1.60e-01, 
-2.29000e-07,-1.60e-01, 
-2.27000e-07,-1.60e-01, 
-2.25000e-07,-8.00e-02, 
-2.23000e-07,-1.60e-01, 
-2.21000e-07,-1.60e-01, 
-2.19000e-07,-1.60e-01, 
-2.17000e-07,-1.60e-01, 
-2.15000e-07,-1.60e-01, 
-2.13000e-07,-1.60e-01, 
-2.11000e-07,-1.60e-01, 
-2.09000e-07,-8.00e-02, 
-2.07000e-07,-8.00e-02, 
-2.05000e-07,-1.60e-01, 
-2.03000e-07,-1.60e-01, 
-2.01000e-07,-1.60e-01, 
-1.99000e-07,-1.60e-01, 
-1.97000e-07,-1.60e-01, 
-1.95000e-07,-8.00e-02, 
-1.93000e-07,-1.60e-01, 
-1.91000e-07,-8.00e-02, 
-1.89000e-07,-1.60e-01, 
-1.87000e-07,-1.60e-01, 
-1.85000e-07,-1.60e-01, 
-1.83000e-07,-1.60e-01, 
-1.81000e-07,-1.60e-01, 
-1.79000e-07,-1.60e-01, 
-1.77000e-07,-8.00e-02, 
-1.75000e-07,-1.60e-01, 
-1.73000e-07,-8.00e-02, 
-1.71000e-07,-1.60e-01, 
-1.69000e-07,-1.60e-01, 
-1.67000e-07,-1.60e-01, 
-1.65000e-07,-1.60e-01, 
-1.63000e-07,-1.60e-01, 
-1.61000e-07,-8.00e-02, 
-1.59000e-07,-8.00e-02, 
-1.57000e-07,-1.60e-01, 
-1.55000e-07,-1.60e-01, 
-1.53000e-07,-1.60e-01, 
-1.51000e-07,-1.60e-01, 
-1.49000e-07,-8.00e-02, 
-1.47000e-07,-1.60e-01, 
-1.45000e-07,-1.60e-01, 
-1.43000e-07,-1.60e-01, 
-1.41000e-07,-1.60e-01, 
-1.39000e-07,-1.60e-01, 
-1.37000e-07,-1.60e-01, 
-1.35000e-07,-8.00e-02, 
-1.33000e-07,-1.60e-01, 
-1.31000e-07,-8.00e-02, 
-1.29000e-07,-1.60e-01, 
-1.27000e-07,-8.00e-02, 
-1.25000e-07,-1.60e-01, 
-1.23000e-07,-8.00e-02, 
-1.21000e-07,-1.60e-01, 
-1.19000e-07,-1.60e-01, 
-1.17000e-07,-1.60e-01, 
-1.15000e-07,-1.60e-01, 
-1.13000e-07,-8.00e-02, 
-1.11000e-07,-8.00e-02, 
-1.09000e-07,-1.60e-01, 
-1.07000e-07,-1.60e-01, 
-1.05000e-07,-8.00e-02, 
-1.03000e-07,-8.00e-02, 
-1.01000e-07,-1.60e-01, 
-9.90000e-08,-8.00e-02, 
-9.70000e-08,-1.60e-01, 
-9.50000e-08,-8.00e-02, 
-9.30000e-08,-1.60e-01, 
-9.10000e-08,-1.60e-01, 
-8.90000e-08,-1.60e-01, 
-8.70000e-08,-1.60e-01, 
-8.50000e-08,-1.60e-01, 
-8.30000e-08,-1.60e-01, 
-8.10000e-08,-1.60e-01, 
-7.90000e-08,-1.60e-01, 
-7.70000e-08,-1.60e-01, 
-7.50000e-08,-1.60e-01, 
-7.30000e-08,-1.60e-01, 
-7.10000e-08,-1.60e-01, 
-6.90000e-08,-8.00e-02, 
-6.70000e-08,-8.00e-02, 
-6.50000e-08,-1.60e-01, 
-6.30000e-08,-1.60e-01, 
-6.10000e-08,-1.60e-01, 
-5.90000e-08,-1.60e-01, 
-5.70000e-08,-8.00e-02, 
-5.50000e-08,-8.00e-02, 
-5.30000e-08,-1.60e-01, 
-5.10000e-08,-8.00e-02, 
-4.90000e-08,-1.60e-01, 
-4.70000e-08,-1.60e-01, 
-4.50000e-08,-8.00e-02, 
-4.30000e-08,-1.60e-01, 
-4.10000e-08,-8.00e-02, 
-3.90000e-08,-1.60e-01, 
-3.70000e-08,-8.00e-02, 
-3.50000e-08,-8.00e-02, 
-3.30000e-08,-1.60e-01, 
-3.10000e-08,-8.00e-02, 
-2.90000e-08,-1.60e-01, 
-2.70000e-08,-1.60e-01, 
-2.50000e-08,-1.60e-01, 
-2.30000e-08,-1.60e-01, 
-2.10000e-08,-1.60e-01, 
-1.90000e-08,-1.60e-01, 
-1.70000e-08,-1.60e-01, 
-1.50000e-08,-1.60e-01, 
-1.30000e-08,-1.60e-01, 
-1.10000e-08,-1.60e-01, 
-9.00000e-09,-8.00e-02, 
-7.00000e-09,-1.60e-01, 
-5.00000e-09,-8.00e-02, 
-3.00000e-09,-1.60e-01, 
-1.00000e-09,0.00e+00, 
1.00000e-09,7.20e-01, 
3.00000e-09,8.48e+00, 
5.00000e-09,9.04e+00, 
7.00000e-09,9.76e+00, 
9.00000e-09,9.84e+00, 
1.10000e-08,1.02e+01, 
1.30000e-08,1.02e+01, 
1.50000e-08,1.02e+01, 
1.70000e-08,1.03e+01, 
1.90000e-08,1.04e+01, 
2.10000e-08,1.02e+01, 
2.30000e-08,1.04e+01, 
2.50000e-08,1.04e+01, 
2.70000e-08,1.04e+01, 
2.90000e-08,1.04e+01, 
3.10000e-08,1.05e+01, 
3.30000e-08,1.05e+01, 
3.50000e-08,1.05e+01, 
3.70000e-08,1.05e+01, 
3.90000e-08,1.06e+01, 
4.10000e-08,1.05e+01, 
4.30000e-08,1.06e+01, 
4.50000e-08,1.05e+01, 
4.70000e-08,1.06e+01, 
4.90000e-08,1.05e+01, 
5.10000e-08,1.05e+01, 
5.30000e-08,1.05e+01, 
5.50000e-08,1.05e+01, 
5.70000e-08,1.05e+01, 
5.90000e-08,1.06e+01, 
6.10000e-08,1.05e+01, 
6.30000e-08,1.05e+01, 
6.50000e-08,1.05e+01, 
6.70000e-08,1.06e+01, 
6.90000e-08,1.05e+01, 
7.10000e-08,1.06e+01, 
7.30000e-08,1.05e+01, 
7.50000e-08,1.06e+01, 
7.70000e-08,1.06e+01, 
7.90000e-08,1.06e+01, 
8.10000e-08,1.05e+01, 
8.30000e-08,1.06e+01, 
8.50000e-08,1.05e+01, 
8.70000e-08,1.06e+01, 
8.90000e-08,1.06e+01, 
9.10000e-08,1.05e+01, 
9.30000e-08,1.05e+01, 
9.50000e-08,1.06e+01, 
9.70000e-08,1.06e+01, 
9.90000e-08,1.05e+01, 
1.01000e-07,1.05e+01, 
1.03000e-07,1.06e+01, 
1.05000e-07,1.05e+01, 
1.07000e-07,1.06e+01, 
1.09000e-07,1.05e+01, 
1.11000e-07,1.06e+01, 
1.13000e-07,1.05e+01, 
1.15000e-07,1.06e+01, 
1.17000e-07,1.05e+01, 
1.19000e-07,1.06e+01, 
1.21000e-07,1.05e+01, 
1.23000e-07,1.06e+01, 
1.25000e-07,1.06e+01, 
1.27000e-07,1.05e+01, 
1.29000e-07,1.06e+01, 
1.31000e-07,1.06e+01, 
1.33000e-07,1.06e+01, 
1.35000e-07,1.06e+01, 
1.37000e-07,1.06e+01, 
1.39000e-07,1.06e+01, 
1.41000e-07,1.06e+01, 
1.43000e-07,1.05e+01, 
1.45000e-07,1.06e+01, 
1.47000e-07,1.06e+01, 
1.49000e-07,1.06e+01, 
1.51000e-07,1.06e+01, 
1.53000e-07,1.06e+01, 
1.55000e-07,1.05e+01, 
1.57000e-07,1.05e+01, 
1.59000e-07,1.06e+01, 
1.61000e-07,1.06e+01, 
1.63000e-07,1.06e+01, 
1.65000e-07,1.06e+01, 
1.67000e-07,1.06e+01, 
1.69000e-07,1.06e+01, 
1.71000e-07,1.06e+01, 
1.73000e-07,1.06e+01, 
1.75000e-07,1.06e+01, 
1.77000e-07,1.05e+01, 
1.79000e-07,1.06e+01, 
1.81000e-07,1.06e+01, 
1.83000e-07,1.05e+01, 
1.85000e-07,1.06e+01, 
1.87000e-07,1.06e+01, 
1.89000e-07,1.06e+01, 
1.91000e-07,1.06e+01, 
1.93000e-07,1.06e+01, 
1.95000e-07,1.06e+01, 
1.97000e-07,1.06e+01, 
1.99000e-07,1.06e+01, 
2.01000e-07,1.06e+01, 
2.03000e-07,1.06e+01, 
2.05000e-07,1.06e+01, 
2.07000e-07,1.06e+01, 
2.09000e-07,1.06e+01, 
2.11000e-07,1.06e+01, 
2.13000e-07,1.06e+01, 
2.15000e-07,1.06e+01, 
2.17000e-07,1.06e+01, 
2.19000e-07,1.06e+01, 
2.21000e-07,1.06e+01, 
2.23000e-07,1.06e+01, 
2.25000e-07,1.06e+01, 
2.27000e-07,1.06e+01, 
2.29000e-07,1.06e+01, 
2.31000e-07,1.06e+01, 
2.33000e-07,1.06e+01, 
2.35000e-07,1.06e+01, 
2.37000e-07,1.06e+01, 
2.39000e-07,1.06e+01, 
2.41000e-07,1.06e+01, 
2.43000e-07,1.06e+01, 
2.45000e-07,1.06e+01, 
2.47000e-07,1.06e+01, 
2.49000e-07,1.06e+01, 
2.51000e-07,1.06e+01, 
2.53000e-07,1.06e+01, 
2.55000e-07,1.06e+01, 
2.57000e-07,1.06e+01, 
2.59000e-07,1.06e+01, 
2.61000e-07,1.06e+01, 
2.63000e-07,1.06e+01, 
2.65000e-07,1.06e+01, 
2.67000e-07,1.06e+01, 
2.69000e-07,1.06e+01, 
2.71000e-07,1.06e+01, 
2.73000e-07,1.06e+01, 
2.75000e-07,1.06e+01, 
2.77000e-07,1.06e+01, 
2.79000e-07,1.06e+01, 
2.81000e-07,1.06e+01, 
2.83000e-07,1.06e+01, 
2.85000e-07,1.06e+01, 
2.87000e-07,1.06e+01, 
2.89000e-07,1.06e+01, 
2.91000e-07,1.06e+01, 
2.93000e-07,1.06e+01, 
2.95000e-07,1.06e+01, 
2.97000e-07,1.06e+01, 
2.99000e-07,1.06e+01, 
3.01000e-07,1.06e+01, 
3.03000e-07,1.06e+01, 
3.05000e-07,1.06e+01, 
3.07000e-07,1.06e+01, 
3.09000e-07,1.06e+01, 
3.11000e-07,1.06e+01, 
3.13000e-07,1.06e+01, 
3.15000e-07,1.06e+01, 
3.17000e-07,1.06e+01, 
3.19000e-07,1.06e+01, 
3.21000e-07,1.06e+01, 
3.23000e-07,1.06e+01, 
3.25000e-07,1.06e+01, 
3.27000e-07,1.06e+01, 
3.29000e-07,1.06e+01, 
3.31000e-07,1.06e+01, 
3.33000e-07,1.06e+01, 
3.35000e-07,1.06e+01, 
3.37000e-07,1.06e+01, 
3.39000e-07,1.06e+01, 
3.41000e-07,1.06e+01, 
3.43000e-07,1.06e+01, 
3.45000e-07,1.06e+01, 
3.47000e-07,1.06e+01, 
3.49000e-07,1.06e+01, 
3.51000e-07,1.06e+01, 
3.53000e-07,1.06e+01, 
3.55000e-07,1.06e+01, 
3.57000e-07,1.06e+01, 
3.59000e-07,1.06e+01, 
3.61000e-07,1.06e+01, 
3.63000e-07,1.06e+01, 
3.65000e-07,1.06e+01, 
3.67000e-07,1.06e+01, 
3.69000e-07,1.06e+01, 
3.71000e-07,1.06e+01, 
3.73000e-07,1.06e+01, 
3.75000e-07,1.06e+01, 
3.77000e-07,1.06e+01, 
3.79000e-07,1.06e+01, 
3.81000e-07,1.06e+01, 
3.83000e-07,1.06e+01, 
3.85000e-07,1.06e+01, 
3.87000e-07,1.06e+01, 
3.89000e-07,1.06e+01, 
3.91000e-07,1.06e+01, 
3.93000e-07,1.06e+01, 
3.95000e-07,1.06e+01, 
3.97000e-07,1.06e+01, 
3.99000e-07,1.06e+01, 
4.01000e-07,1.06e+01, 
4.03000e-07,1.06e+01, 
4.05000e-07,1.06e+01, 
4.07000e-07,1.06e+01, 
4.09000e-07,1.06e+01, 
4.11000e-07,1.06e+01, 
4.13000e-07,1.06e+01, 
4.15000e-07,1.06e+01, 
4.17000e-07,1.06e+01, 
4.19000e-07,1.06e+01, 
4.21000e-07,1.06e+01, 
4.23000e-07,1.06e+01, 
4.25000e-07,1.06e+01, 
4.27000e-07,1.06e+01, 
4.29000e-07,1.06e+01, 
4.31000e-07,1.06e+01, 
4.33000e-07,1.06e+01, 
4.35000e-07,1.06e+01, 
4.37000e-07,1.06e+01, 
4.39000e-07,1.06e+01, 
4.41000e-07,1.06e+01, 
4.43000e-07,1.06e+01, 
4.45000e-07,1.06e+01, 
4.47000e-07,1.06e+01, 
4.49000e-07,1.06e+01, 
4.51000e-07,1.06e+01, 
4.53000e-07,1.06e+01, 
4.55000e-07,1.06e+01, 
4.57000e-07,1.06e+01, 
4.59000e-07,1.06e+01, 
4.61000e-07,1.06e+01, 
4.63000e-07,1.06e+01, 
4.65000e-07,1.06e+01, 
4.67000e-07,1.06e+01, 
4.69000e-07,1.06e+01, 
4.71000e-07,1.06e+01, 
4.73000e-07,1.06e+01, 
4.75000e-07,1.06e+01, 
4.77000e-07,1.06e+01, 
4.79000e-07,1.06e+01, 
4.81000e-07,1.06e+01, 
4.83000e-07,1.06e+01, 
4.85000e-07,1.06e+01, 
4.87000e-07,1.06e+01, 
4.89000e-07,1.06e+01, 
4.91000e-07,1.06e+01, 
4.93000e-07,1.06e+01, 
4.95000e-07,1.06e+01, 
4.97000e-07,1.06e+01, 
4.99000e-07,1.06e+01, 
5.01000e-07,1.06e+01, 
5.03000e-07,1.06e+01, 
5.05000e-07,1.06e+01, 
5.07000e-07,1.06e+01, 
5.09000e-07,1.06e+01, 
5.11000e-07,1.06e+01, 
5.13000e-07,1.06e+01, 
5.15000e-07,1.06e+01, 
5.17000e-07,1.06e+01, 
5.19000e-07,1.06e+01, 
5.21000e-07,1.06e+01, 
5.23000e-07,1.06e+01, 
5.25000e-07,1.06e+01, 
5.27000e-07,1.06e+01, 
5.29000e-07,1.06e+01, 
5.31000e-07,1.06e+01, 
5.33000e-07,1.06e+01, 
5.35000e-07,1.06e+01, 
5.37000e-07,1.06e+01, 
5.39000e-07,1.06e+01, 
5.41000e-07,1.06e+01, 
5.43000e-07,1.06e+01, 
5.45000e-07,1.06e+01, 
5.47000e-07,1.06e+01, 
5.49000e-07,1.06e+01, 
5.51000e-07,1.06e+01, 
5.53000e-07,1.06e+01, 
5.55000e-07,1.06e+01, 
5.57000e-07,1.06e+01, 
5.59000e-07,1.06e+01, 
5.61000e-07,1.06e+01, 
5.63000e-07,1.06e+01, 
5.65000e-07,1.06e+01, 
5.67000e-07,1.06e+01, 
5.69000e-07,1.06e+01, 
5.71000e-07,1.06e+01, 
5.73000e-07,1.06e+01, 
5.75000e-07,1.06e+01, 
5.77000e-07,1.06e+01, 
5.79000e-07,1.06e+01, 
5.81000e-07,1.06e+01, 
5.83000e-07,1.06e+01, 
5.85000e-07,1.06e+01, 
5.87000e-07,1.06e+01, 
5.89000e-07,1.06e+01, 
5.91000e-07,1.06e+01, 
5.93000e-07,1.06e+01, 
5.95000e-07,1.06e+01, 
5.97000e-07,1.06e+01, 
5.99000e-07,1.06e+01, 
6.01000e-07,1.06e+01, 
6.03000e-07,1.06e+01, 
6.05000e-07,1.06e+01, 
6.07000e-07,1.06e+01, 
6.09000e-07,1.06e+01, 
6.11000e-07,1.06e+01, 
6.13000e-07,1.06e+01, 
6.15000e-07,1.06e+01, 
