,CH1
Second,Volt
-1.50000e-08,-1.60e-02, 
-1.49000e-08,-1.60e-02, 
-1.48000e-08,-1.60e-02, 
-1.47000e-08,-1.60e-02, 
-1.46000e-08,-1.60e-02, 
-1.45000e-08,-1.60e-02, 
-1.44000e-08,-1.60e-02, 
-1.43000e-08,-1.60e-02, 
-1.42000e-08,-1.60e-02, 
-1.41000e-08,-2.40e-02, 
-1.40000e-08,-2.40e-02, 
-1.39000e-08,-2.40e-02, 
-1.38000e-08,-2.40e-02, 
-1.37000e-08,-2.40e-02, 
-1.36000e-08,-2.40e-02, 
-1.35000e-08,-1.60e-02, 
-1.34000e-08,-1.60e-02, 
-1.33000e-08,-1.60e-02, 
-1.32000e-08,-1.60e-02, 
-1.31000e-08,-1.60e-02, 
-1.30000e-08,-1.60e-02, 
-1.29000e-08,-1.60e-02, 
-1.28000e-08,-1.60e-02, 
-1.27000e-08,-1.60e-02, 
-1.26000e-08,-1.60e-02, 
-1.25000e-08,-1.60e-02, 
-1.24000e-08,-1.60e-02, 
-1.23000e-08,-1.60e-02, 
-1.22000e-08,-1.60e-02, 
-1.21000e-08,-2.40e-02, 
-1.20000e-08,-1.60e-02, 
-1.19000e-08,-1.60e-02, 
-1.18000e-08,-1.60e-02, 
-1.17000e-08,-1.60e-02, 
-1.16000e-08,-1.60e-02, 
-1.15000e-08,-1.60e-02, 
-1.14000e-08,-1.60e-02, 
-1.13000e-08,-1.60e-02, 
-1.12000e-08,-1.60e-02, 
-1.11000e-08,-1.60e-02, 
-1.10000e-08,-1.60e-02, 
-1.09000e-08,-1.60e-02, 
-1.08000e-08,-1.60e-02, 
-1.07000e-08,-1.60e-02, 
-1.06000e-08,-2.40e-02, 
-1.05000e-08,-2.40e-02, 
-1.04000e-08,-2.40e-02, 
-1.03000e-08,-2.40e-02, 
-1.02000e-08,-2.40e-02, 
-1.01000e-08,-2.40e-02, 
-1.00000e-08,-2.40e-02, 
-9.90000e-09,-2.40e-02, 
-9.80000e-09,-2.40e-02, 
-9.70000e-09,-2.40e-02, 
-9.60000e-09,-2.40e-02, 
-9.50000e-09,-1.60e-02, 
-9.40000e-09,-1.60e-02, 
-9.30000e-09,-1.60e-02, 
-9.20000e-09,-1.60e-02, 
-9.10000e-09,-1.60e-02, 
-9.00000e-09,-1.60e-02, 
-8.90000e-09,-1.60e-02, 
-8.80000e-09,-1.60e-02, 
-8.70000e-09,-1.60e-02, 
-8.60000e-09,-2.40e-02, 
-8.50000e-09,-2.40e-02, 
-8.40000e-09,-2.40e-02, 
-8.30000e-09,-2.40e-02, 
-8.20000e-09,-2.40e-02, 
-8.10000e-09,-2.40e-02, 
-8.00000e-09,-2.40e-02, 
-7.90000e-09,-2.40e-02, 
-7.80000e-09,-2.40e-02, 
-7.70000e-09,-2.40e-02, 
-7.60000e-09,-2.40e-02, 
-7.50000e-09,-1.60e-02, 
-7.40000e-09,-1.60e-02, 
-7.30000e-09,-1.60e-02, 
-7.20000e-09,-1.60e-02, 
-7.10000e-09,-1.60e-02, 
-7.00000e-09,-1.60e-02, 
-6.90000e-09,-1.60e-02, 
-6.80000e-09,-1.60e-02, 
-6.70000e-09,-1.60e-02, 
-6.60000e-09,-1.60e-02, 
-6.50000e-09,-1.60e-02, 
-6.40000e-09,-1.60e-02, 
-6.30000e-09,-1.60e-02, 
-6.20000e-09,-1.60e-02, 
-6.10000e-09,-2.40e-02, 
-6.00000e-09,-2.40e-02, 
-5.90000e-09,-2.40e-02, 
-5.80000e-09,-2.40e-02, 
-5.70000e-09,-2.40e-02, 
-5.60000e-09,-2.40e-02, 
-5.50000e-09,-1.60e-02, 
-5.40000e-09,-1.60e-02, 
-5.30000e-09,-1.60e-02, 
-5.20000e-09,-1.60e-02, 
-5.10000e-09,-1.60e-02, 
-5.00000e-09,-1.60e-02, 
-4.90000e-09,-1.60e-02, 
-4.80000e-09,-1.60e-02, 
-4.70000e-09,-1.60e-02, 
-4.60000e-09,-1.60e-02, 
-4.50000e-09,-1.60e-02, 
-4.40000e-09,-1.60e-02, 
-4.30000e-09,-1.60e-02, 
-4.20000e-09,-1.60e-02, 
-4.10000e-09,-1.60e-02, 
-4.00000e-09,-8.00e-03, 
-3.90000e-09,-8.00e-03, 
-3.80000e-09,-8.00e-03, 
-3.70000e-09,-8.00e-03, 
-3.60000e-09,-8.00e-03, 
-3.50000e-09,0.00e+00, 
-3.40000e-09,8.00e-03, 
-3.30000e-09,8.00e-03, 
-3.20000e-09,1.60e-02, 
-3.10000e-09,1.60e-02, 
-3.00000e-09,2.40e-02, 
-2.90000e-09,3.20e-02, 
-2.80000e-09,3.20e-02, 
-2.70000e-09,4.00e-02, 
-2.60000e-09,4.00e-02, 
-2.50000e-09,4.80e-02, 
-2.40000e-09,5.60e-02, 
-2.30000e-09,5.60e-02, 
-2.20000e-09,6.40e-02, 
-2.10000e-09,6.40e-02, 
-2.00000e-09,7.20e-02, 
-1.90000e-09,8.00e-02, 
-1.80000e-09,8.80e-02, 
-1.70000e-09,9.60e-02, 
-1.60000e-09,1.04e-01, 
-1.50000e-09,1.20e-01, 
-1.40000e-09,1.28e-01, 
-1.30000e-09,1.44e-01, 
-1.20000e-09,1.52e-01, 
-1.10000e-09,1.60e-01, 
-1.00000e-09,1.76e-01, 
-9.00000e-10,1.92e-01, 
-8.00000e-10,2.00e-01, 
-7.00000e-10,2.16e-01, 
-6.00000e-10,2.24e-01, 
-5.00000e-10,2.40e-01, 
-4.00000e-10,2.56e-01, 
-3.00000e-10,2.72e-01, 
-2.00000e-10,2.88e-01, 
-1.00000e-10,3.04e-01, 
-0.00000e+00,3.28e-01, 
9.99991e-11,3.44e-01, 
1.99999e-10,3.60e-01, 
2.99999e-10,3.76e-01, 
3.99999e-10,3.92e-01, 
4.99999e-10,4.16e-01, 
5.99999e-10,4.40e-01, 
6.99999e-10,4.56e-01, 
7.99999e-10,4.80e-01, 
8.99999e-10,4.96e-01, 
9.99999e-10,5.20e-01, 
1.10000e-09,5.36e-01, 
1.20000e-09,5.60e-01, 
1.30000e-09,5.76e-01, 
1.40000e-09,5.92e-01, 
1.50000e-09,6.08e-01, 
1.60000e-09,6.24e-01, 
1.70000e-09,6.40e-01, 
1.80000e-09,6.56e-01, 
1.90000e-09,6.64e-01, 
2.00000e-09,6.80e-01, 
2.10000e-09,6.96e-01, 
2.20000e-09,7.12e-01, 
2.30000e-09,7.28e-01, 
2.40000e-09,7.36e-01, 
2.50000e-09,7.52e-01, 
2.60000e-09,7.68e-01, 
2.70000e-09,7.76e-01, 
2.80000e-09,7.92e-01, 
2.90000e-09,8.00e-01, 
3.00000e-09,8.16e-01, 
3.10000e-09,8.32e-01, 
3.20000e-09,8.40e-01, 
3.30000e-09,8.56e-01, 
3.40000e-09,8.64e-01, 
3.50000e-09,8.72e-01, 
3.60000e-09,8.80e-01, 
3.70000e-09,8.88e-01, 
3.80000e-09,8.96e-01, 
3.90000e-09,9.04e-01, 
4.00000e-09,9.20e-01, 
4.10000e-09,9.28e-01, 
4.20000e-09,9.36e-01, 
4.30000e-09,9.44e-01, 
4.40000e-09,9.52e-01, 
4.50000e-09,9.60e-01, 
4.60000e-09,9.68e-01, 
4.70000e-09,9.76e-01, 
4.80000e-09,9.84e-01, 
4.90000e-09,9.92e-01, 
5.00000e-09,1.00e+00, 
5.10000e-09,1.01e+00, 
5.20000e-09,1.01e+00, 
5.30000e-09,1.02e+00, 
5.40000e-09,1.02e+00, 
5.50000e-09,1.02e+00, 
5.60000e-09,1.03e+00, 
5.70000e-09,1.03e+00, 
5.80000e-09,1.04e+00, 
5.90000e-09,1.04e+00, 
6.00000e-09,1.05e+00, 
6.10000e-09,1.06e+00, 
6.20000e-09,1.06e+00, 
6.30000e-09,1.06e+00, 
6.40000e-09,1.06e+00, 
6.50000e-09,1.07e+00, 
6.60000e-09,1.07e+00, 
6.70000e-09,1.08e+00, 
6.80000e-09,1.08e+00, 
6.90000e-09,1.08e+00, 
7.00000e-09,1.09e+00, 
7.10000e-09,1.10e+00, 
7.20000e-09,1.10e+00, 
7.30000e-09,1.10e+00, 
7.40000e-09,1.10e+00, 
7.50000e-09,1.11e+00, 
7.60000e-09,1.11e+00, 
7.70000e-09,1.12e+00, 
7.80000e-09,1.12e+00, 
7.90000e-09,1.12e+00, 
8.00000e-09,1.13e+00, 
8.10000e-09,1.13e+00, 
8.20000e-09,1.14e+00, 
8.30000e-09,1.14e+00, 
8.40000e-09,1.14e+00, 
8.50000e-09,1.14e+00, 
8.60000e-09,1.14e+00, 
8.70000e-09,1.14e+00, 
8.80000e-09,1.14e+00, 
8.90000e-09,1.14e+00, 
9.00000e-09,1.14e+00, 
9.10000e-09,1.15e+00, 
9.20000e-09,1.15e+00, 
9.30000e-09,1.16e+00, 
9.40000e-09,1.16e+00, 
9.50000e-09,1.16e+00, 
9.60000e-09,1.16e+00, 
9.70000e-09,1.16e+00, 
9.80000e-09,1.16e+00, 
9.90000e-09,1.16e+00, 
1.00000e-08,1.17e+00, 
1.01000e-08,1.17e+00, 
1.02000e-08,1.17e+00, 
1.03000e-08,1.17e+00, 
1.04000e-08,1.17e+00, 
1.05000e-08,1.17e+00, 
1.06000e-08,1.17e+00, 
1.07000e-08,1.17e+00, 
1.08000e-08,1.17e+00, 
1.09000e-08,1.17e+00, 
1.10000e-08,1.18e+00, 
1.11000e-08,1.18e+00, 
1.12000e-08,1.18e+00, 
1.13000e-08,1.18e+00, 
1.14000e-08,1.18e+00, 
1.15000e-08,1.18e+00, 
1.16000e-08,1.18e+00, 
1.17000e-08,1.18e+00, 
1.18000e-08,1.18e+00, 
1.19000e-08,1.18e+00, 
1.20000e-08,1.18e+00, 
1.21000e-08,1.18e+00, 
1.22000e-08,1.18e+00, 
1.23000e-08,1.18e+00, 
1.24000e-08,1.18e+00, 
1.25000e-08,1.19e+00, 
1.26000e-08,1.19e+00, 
1.27000e-08,1.19e+00, 
1.28000e-08,1.19e+00, 
1.29000e-08,1.19e+00, 
1.30000e-08,1.19e+00, 
1.31000e-08,1.19e+00, 
1.32000e-08,1.19e+00, 
1.33000e-08,1.19e+00, 
1.34000e-08,1.19e+00, 
1.35000e-08,1.19e+00, 
1.36000e-08,1.19e+00, 
1.37000e-08,1.19e+00, 
1.38000e-08,1.19e+00, 
1.39000e-08,1.19e+00, 
1.40000e-08,1.19e+00, 
1.41000e-08,1.19e+00, 
1.42000e-08,1.19e+00, 
1.43000e-08,1.19e+00, 
1.44000e-08,1.19e+00, 
1.45000e-08,1.19e+00, 
1.46000e-08,1.19e+00, 
1.47000e-08,1.19e+00, 
1.48000e-08,1.19e+00, 
1.49000e-08,1.19e+00, 
1.50000e-08,1.20e+00, 
1.51000e-08,1.20e+00, 
1.52000e-08,1.21e+00, 
1.53000e-08,1.21e+00, 
1.54000e-08,1.21e+00, 
1.55000e-08,1.21e+00, 
1.56000e-08,1.21e+00, 
1.57000e-08,1.21e+00, 
1.58000e-08,1.21e+00, 
1.59000e-08,1.20e+00, 
1.60000e-08,1.21e+00, 
1.61000e-08,1.21e+00, 
1.62000e-08,1.21e+00, 
1.63000e-08,1.21e+00, 
1.64000e-08,1.21e+00, 
1.65000e-08,1.21e+00, 
1.66000e-08,1.21e+00, 
1.67000e-08,1.21e+00, 
1.68000e-08,1.21e+00, 
1.69000e-08,1.21e+00, 
1.70000e-08,1.22e+00, 
1.71000e-08,1.22e+00, 
1.72000e-08,1.22e+00, 
1.73000e-08,1.22e+00, 
1.74000e-08,1.22e+00, 
1.75000e-08,1.22e+00, 
1.76000e-08,1.22e+00, 
1.77000e-08,1.22e+00, 
1.78000e-08,1.22e+00, 
1.79000e-08,1.22e+00, 
1.80000e-08,1.22e+00, 
1.81000e-08,1.22e+00, 
1.82000e-08,1.22e+00, 
1.83000e-08,1.22e+00, 
1.84000e-08,1.22e+00, 
1.85000e-08,1.22e+00, 
1.86000e-08,1.22e+00, 
1.87000e-08,1.22e+00, 
1.88000e-08,1.22e+00, 
1.89000e-08,1.22e+00, 
1.90000e-08,1.23e+00, 
1.91000e-08,1.23e+00, 
1.92000e-08,1.23e+00, 
1.93000e-08,1.23e+00, 
1.94000e-08,1.23e+00, 
1.95000e-08,1.23e+00, 
1.96000e-08,1.23e+00, 
1.97000e-08,1.23e+00, 
1.98000e-08,1.23e+00, 
