,CH2
Second,Volt
-5.97440e-06,-8.00e-02, 
-5.95440e-06,-1.60e-01, 
-5.93440e-06,-8.00e-02, 
-5.91440e-06,-1.60e-01, 
-5.89440e-06,-1.60e-01, 
-5.87440e-06,-8.00e-02, 
-5.85440e-06,-8.00e-02, 
-5.83440e-06,-1.60e-01, 
-5.81440e-06,-1.60e-01, 
-5.79440e-06,-8.00e-02, 
-5.77440e-06,-8.00e-02, 
-5.75440e-06,-1.60e-01, 
-5.73440e-06,-1.60e-01, 
-5.71440e-06,-8.00e-02, 
-5.69440e-06,-1.60e-01, 
-5.67440e-06,-8.00e-02, 
-5.65440e-06,-1.60e-01, 
-5.63440e-06,-8.00e-02, 
-5.61440e-06,-8.00e-02, 
-5.59440e-06,-1.60e-01, 
-5.57440e-06,-8.00e-02, 
-5.55440e-06,-8.00e-02, 
-5.53440e-06,-8.00e-02, 
-5.51440e-06,-8.00e-02, 
-5.49440e-06,-8.00e-02, 
-5.47440e-06,-1.60e-01, 
-5.45440e-06,-8.00e-02, 
-5.43440e-06,-1.60e-01, 
-5.41440e-06,-8.00e-02, 
-5.39440e-06,-8.00e-02, 
-5.37440e-06,-8.00e-02, 
-5.35440e-06,-1.60e-01, 
-5.33440e-06,-8.00e-02, 
-5.31440e-06,-1.60e-01, 
-5.29440e-06,-1.60e-01, 
-5.27440e-06,-8.00e-02, 
-5.25440e-06,-8.00e-02, 
-5.23440e-06,-1.60e-01, 
-5.21440e-06,-8.00e-02, 
-5.19440e-06,-1.60e-01, 
-5.17440e-06,-8.00e-02, 
-5.15440e-06,-1.60e-01, 
-5.13440e-06,-8.00e-02, 
-5.11440e-06,-1.60e-01, 
-5.09440e-06,-8.00e-02, 
-5.07440e-06,-8.00e-02, 
-5.05440e-06,-8.00e-02, 
-5.03440e-06,-8.00e-02, 
-5.01440e-06,-8.00e-02, 
-4.99440e-06,-1.60e-01, 
-4.97440e-06,-8.00e-02, 
-4.95440e-06,-1.60e-01, 
-4.93440e-06,-8.00e-02, 
-4.91440e-06,-1.60e-01, 
-4.89440e-06,-8.00e-02, 
-4.87440e-06,-1.60e-01, 
-4.85440e-06,-8.00e-02, 
-4.83440e-06,-1.60e-01, 
-4.81440e-06,-1.60e-01, 
-4.79440e-06,-8.00e-02, 
-4.77440e-06,-1.60e-01, 
-4.75440e-06,-8.00e-02, 
-4.73440e-06,-1.60e-01, 
-4.71440e-06,-8.00e-02, 
-4.69440e-06,-8.00e-02, 
-4.67440e-06,-1.60e-01, 
-4.65440e-06,-1.60e-01, 
-4.63440e-06,-8.00e-02, 
-4.61440e-06,-1.60e-01, 
-4.59440e-06,-8.00e-02, 
-4.57440e-06,-8.00e-02, 
-4.55440e-06,-1.60e-01, 
-4.53440e-06,-8.00e-02, 
-4.51440e-06,-1.60e-01, 
-4.49440e-06,-8.00e-02, 
-4.47440e-06,-8.00e-02, 
-4.45440e-06,-8.00e-02, 
-4.43440e-06,-1.60e-01, 
-4.41440e-06,-8.00e-02, 
-4.39440e-06,-1.60e-01, 
-4.37440e-06,-8.00e-02, 
-4.35440e-06,-8.00e-02, 
-4.33440e-06,-8.00e-02, 
-4.31440e-06,-1.60e-01, 
-4.29440e-06,-8.00e-02, 
-4.27440e-06,-1.60e-01, 
-4.25440e-06,-8.00e-02, 
-4.23440e-06,-1.60e-01, 
-4.21440e-06,-8.00e-02, 
