,CH1
Second,Volt
2.74320e-06,-2.40e-02, 
2.74360e-06,-2.40e-02, 
2.74400e-06,-2.40e-02, 
2.74440e-06,-2.40e-02, 
2.74480e-06,-3.20e-02, 
2.74520e-06,-2.40e-02, 
2.74560e-06,-2.40e-02, 
2.74600e-06,-2.40e-02, 
2.74640e-06,-2.40e-02, 
2.74680e-06,-3.20e-02, 
2.74720e-06,-2.40e-02, 
2.74760e-06,-2.40e-02, 
2.74800e-06,-2.40e-02, 
2.74840e-06,-2.40e-02, 
2.74880e-06,-2.40e-02, 
2.74920e-06,-2.40e-02, 
2.74960e-06,-2.40e-02, 
2.75000e-06,-2.40e-02, 
2.75040e-06,-2.40e-02, 
2.75080e-06,-3.20e-02, 
2.75120e-06,-2.40e-02, 
2.75160e-06,-2.40e-02, 
2.75200e-06,-2.40e-02, 
2.75240e-06,-2.40e-02, 
2.75280e-06,-2.40e-02, 
2.75320e-06,-2.40e-02, 
2.75360e-06,-2.40e-02, 
2.75400e-06,-2.40e-02, 
2.75440e-06,-2.40e-02, 
2.75480e-06,-2.40e-02, 
2.75520e-06,-3.20e-02, 
2.75560e-06,-2.40e-02, 
2.75600e-06,-2.40e-02, 
2.75640e-06,-2.40e-02, 
2.75680e-06,-2.40e-02, 
2.75720e-06,-3.20e-02, 
2.75760e-06,-2.40e-02, 
2.75800e-06,-2.40e-02, 
2.75840e-06,-2.40e-02, 
2.75880e-06,-3.20e-02, 
2.75920e-06,-2.40e-02, 
2.75960e-06,-2.40e-02, 
2.76000e-06,-2.40e-02, 
2.76040e-06,-2.40e-02, 
2.76080e-06,-3.20e-02, 
2.76120e-06,-3.20e-02, 
2.76160e-06,-2.40e-02, 
2.76200e-06,-2.40e-02, 
2.76240e-06,-2.40e-02, 
2.76280e-06,-2.40e-02, 
2.76320e-06,-2.40e-02, 
2.76360e-06,-2.40e-02, 
2.76400e-06,-2.40e-02, 
2.76440e-06,-2.40e-02, 
2.76480e-06,-2.40e-02, 
2.76520e-06,-2.40e-02, 
2.76560e-06,-2.40e-02, 
2.76600e-06,-2.40e-02, 
2.76640e-06,-2.40e-02, 
2.76680e-06,-2.40e-02, 
2.76720e-06,-2.40e-02, 
2.76760e-06,-2.40e-02, 
2.76800e-06,-2.40e-02, 
2.76840e-06,-2.40e-02, 
2.76880e-06,-3.20e-02, 
2.76920e-06,-2.40e-02, 
2.76960e-06,-2.40e-02, 
