,CH1
Second,Volt
-2.96000e-07,0.00e+00, 
-2.94000e-07,0.00e+00, 
-2.92000e-07,0.00e+00, 
-2.90000e-07,-8.00e-03, 
-2.88000e-07,-8.00e-03, 
-2.86000e-07,0.00e+00, 
-2.84000e-07,0.00e+00, 
-2.82000e-07,0.00e+00, 
-2.80000e-07,-8.00e-03, 
-2.78000e-07,0.00e+00, 
-2.76000e-07,-8.00e-03, 
-2.74000e-07,0.00e+00, 
-2.72000e-07,0.00e+00, 
-2.70000e-07,0.00e+00, 
-2.68000e-07,-8.00e-03, 
-2.66000e-07,0.00e+00, 
-2.64000e-07,0.00e+00, 
-2.62000e-07,0.00e+00, 
-2.60000e-07,-8.00e-03, 
-2.58000e-07,0.00e+00, 
-2.56000e-07,-8.00e-03, 
-2.54000e-07,0.00e+00, 
-2.52000e-07,0.00e+00, 
-2.50000e-07,-8.00e-03, 
-2.48000e-07,-8.00e-03, 
-2.46000e-07,0.00e+00, 
-2.44000e-07,-8.00e-03, 
-2.42000e-07,0.00e+00, 
-2.40000e-07,0.00e+00, 
-2.38000e-07,-8.00e-03, 
-2.36000e-07,-8.00e-03, 
-2.34000e-07,0.00e+00, 
-2.32000e-07,0.00e+00, 
-2.30000e-07,0.00e+00, 
-2.28000e-07,-8.00e-03, 
-2.26000e-07,0.00e+00, 
-2.24000e-07,-8.00e-03, 
-2.22000e-07,0.00e+00, 
-2.20000e-07,0.00e+00, 
-2.18000e-07,-8.00e-03, 
-2.16000e-07,-8.00e-03, 
-2.14000e-07,0.00e+00, 
-2.12000e-07,0.00e+00, 
-2.10000e-07,0.00e+00, 
-2.08000e-07,-8.00e-03, 
-2.06000e-07,0.00e+00, 
-2.04000e-07,-8.00e-03, 
-2.02000e-07,0.00e+00, 
-2.00000e-07,0.00e+00, 
-1.98000e-07,-8.00e-03, 
-1.96000e-07,-8.00e-03, 
-1.94000e-07,0.00e+00, 
-1.92000e-07,0.00e+00, 
-1.90000e-07,0.00e+00, 
-1.88000e-07,0.00e+00, 
-1.86000e-07,-8.00e-03, 
-1.84000e-07,-8.00e-03, 
-1.82000e-07,0.00e+00, 
-1.80000e-07,0.00e+00, 
-1.78000e-07,0.00e+00, 
-1.76000e-07,-8.00e-03, 
-1.74000e-07,0.00e+00, 
-1.72000e-07,0.00e+00, 
-1.70000e-07,0.00e+00, 
-1.68000e-07,0.00e+00, 
-1.66000e-07,-8.00e-03, 
-1.64000e-07,-8.00e-03, 
-1.62000e-07,0.00e+00, 
-1.60000e-07,0.00e+00, 
-1.58000e-07,0.00e+00, 
-1.56000e-07,0.00e+00, 
-1.54000e-07,-8.00e-03, 
-1.52000e-07,-8.00e-03, 
-1.50000e-07,0.00e+00, 
-1.48000e-07,0.00e+00, 
-1.46000e-07,0.00e+00, 
-1.44000e-07,-8.00e-03, 
-1.42000e-07,0.00e+00, 
-1.40000e-07,-8.00e-03, 
-1.38000e-07,0.00e+00, 
-1.36000e-07,-8.00e-03, 
-1.34000e-07,0.00e+00, 
-1.32000e-07,-8.00e-03, 
